,Name,Sex,Age,Survived
0,Mr. Owen Harris Braund,male,22.0,0
1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38.0,1
2,Miss. Laina Heikkinen,female,26.0,1
3,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35.0,1
4,Mr. William Henry Allen,male,35.0,0
5,Mr. James Moran,male,27.0,0
6,Mr. Timothy J McCarthy,male,54.0,0
7,Master. Gosta Leonard Palsson,male,2.0,0
8,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27.0,1
9,Mrs. Nicholas (Adele Achem) Nasser,female,14.0,1
10,Miss. Marguerite Rut Sandstrom,female,4.0,1
11,Miss. Elizabeth Bonnell,female,58.0,1
12,Mr. William Henry Saundercock,male,20.0,0
13,Mr. Anders Johan Andersson,male,39.0,0
14,Miss. Hulda Amanda Adolfina Vestrom,female,14.0,0
15,Mrs. (Mary D Kingcome) Hewlett,female,55.0,1
16,Master. Eugene Rice,male,2.0,0
17,Mr. Charles Eugene Williams,male,23.0,1
18,Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,female,31.0,0
19,Mrs. Fatima Masselmani,female,22.0,1
20,Mr. Joseph J Fynney,male,35.0,0
21,Mr. Lawrence Beesley,male,34.0,1
22,Miss. Anna McGowan,female,15.0,1
23,Mr. William Thompson Sloper,male,28.0,1
24,Miss. Torborg Danira Palsson,female,8.0,0
25,Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,female,38.0,1
26,Mr. Farred Chehab Emir,male,26.0,0
27,Mr. Charles Alexander Fortune,male,19.0,0
28,Miss. Ellen O'Dwyer,female,24.0,1
29,Mr. Lalio Todoroff,male,23.0,0
30,Don. Manuel E Uruchurtu,male,40.0,0
31,Mrs. William Augustus (Marie Eugenie) Spencer,female,48.0,1
32,Miss. Mary Agatha Glynn,female,18.0,1
33,Mr. Edward H Wheadon,male,66.0,0
34,Mr. Edgar Joseph Meyer,male,28.0,0
35,Mr. Alexander Oskar Holverson,male,42.0,0
36,Mr. Hanna Mamee,male,18.0,1
37,Mr. Ernest Charles Cann,male,21.0,0
38,Miss. Augusta Maria Vander Planke,female,18.0,0
39,Miss. Jamila Nicola-Yarred,female,14.0,1
40,Mrs. Johan (Johanna Persdotter Larsson) Ahlin,female,40.0,0
41,Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,female,27.0,0
42,Miss. Simonne Marie Anne Andree Laroche,female,3.0,1
43,Miss. Margaret Delia Devaney,female,19.0,1
44,Mr. William John Rogers,male,30.0,0
45,Mr. Denis Lennon,male,20.0,0
46,Miss. Bridget O'Driscoll,female,27.0,1
47,Mr. Youssef Samaan,male,16.0,0
48,Mrs. Josef (Josefine Franchi) Arnold-Franchi,female,18.0,0
49,Master. Juha Niilo Panula,male,7.0,0
50,Mr. Richard Cater Nosworthy,male,21.0,0
51,Mrs. Henry Sleeper (Myna Haxtun) Harper,female,49.0,1
52,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,female,29.0,1
53,Mr. Engelhart Cornelius Ostby,male,65.0,0
54,Mr. Hugh Woolner,male,46.0,1
55,Miss. Emily Rugg,female,21.0,1
56,Mr. Mansouer Novel,male,28.5,0
57,Miss. Constance Mirium West,female,5.0,1
58,Master. William Frederick Goodwin,male,11.0,0
59,Mr. Orsen Sirayanian,male,22.0,0
60,Miss. Amelie Icard,female,38.0,1
61,Mr. Henry Birkhardt Harris,male,45.0,0
62,Master. Harald Skoog,male,4.0,0
63,Mr. Albert A Stewart,male,64.0,0
64,Master. Gerios Moubarek,male,7.0,1
65,Mrs. (Elizabeth Ramell) Nye,female,29.0,1
66,Mr. Ernest James Crease,male,19.0,0
67,Miss. Erna Alexandra Andersson,female,17.0,1
68,Mr. Vincenz Kink,male,26.0,0
69,Mr. Stephen Curnow Jenkin,male,32.0,0
70,Miss. Lillian Amy Goodwin,female,16.0,0
71,Mr. Ambrose Jr Hood,male,21.0,0
72,Mr. Apostolos Chronopoulos,male,26.0,0
73,Mr. Lee Bing,male,32.0,1
74,Mr. Sigurd Hansen Moen,male,25.0,0
75,Mr. Ivan Staneff,male,23.0,0
76,Mr. Rahamin Haim Moutal,male,28.0,0
77,Master. Alden Gates Caldwell,male,0.83,1
78,Miss. Elizabeth Dowdell,female,30.0,1
79,Mr. Achille Waelens,male,22.0,0
80,Mr. Jan Baptist Sheerlinck,male,29.0,1
81,Miss. Brigdet Delia McDermott,female,31.0,1
82,Mr. Francisco M Carrau,male,28.0,0
83,Miss. Bertha Ilett,female,17.0,1
84,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,female,33.0,1
85,Mr. William Neal Ford,male,16.0,0
86,Mr. Selman Francis Slocovski,male,20.0,0
87,Miss. Mabel Helen Fortune,female,23.0,1
88,Mr. Francesco Celotti,male,24.0,0
89,Mr. Emil Christmann,male,29.0,0
90,Mr. Paul Edvin Andreasson,male,20.0,0
91,Mr. Herbert Fuller Chaffee,male,46.0,0
92,Mr. Bertram Frank Dean,male,26.0,0
93,Mr. Daniel Coxon,male,59.0,0
94,Mr. Charles Joseph Shorney,male,22.0,0
95,Mr. George B Goldschmidt,male,71.0,0
96,Mr. William Bertram Greenfield,male,23.0,1
97,Mrs. John T (Ada Julia Bone) Doling,female,34.0,1
98,Mr. Sinai Kantor,male,34.0,0
99,Miss. Matilda Petranec,female,28.0,0
100,Mr. Pastcho Petroff,male,29.0,0
101,Mr. Richard Frasar White,male,21.0,0
102,Mr. Gustaf Joel Johansson,male,33.0,0
103,Mr. Anders Vilhelm Gustafsson,male,37.0,0
104,Mr. Stoytcho Mionoff,male,28.0,0
105,Miss. Anna Kristine Salkjelsvik,female,21.0,1
106,Mr. Albert Johan Moss,male,29.0,1
107,Mr. Tido Rekic,male,38.0,0
108,Miss. Bertha Moran,female,28.0,1
109,Mr. Walter Chamberlain Porter,male,47.0,0
110,Miss. Hileni Zabour,female,14.5,0
111,Mr. David John Barton,male,22.0,0
112,Miss. Katriina Jussila,female,20.0,0
113,Miss. Malake Attalah,female,17.0,0
114,Mr. Edvard Pekoniemi,male,21.0,0
115,Mr. Patrick Connors,male,70.5,0
116,Mr. William John Robert Turpin,male,29.0,0
117,Mr. Quigg Edmond Baxter,male,24.0,0
118,Miss. Ellis Anna Maria Andersson,female,2.0,0
119,Mr. Stanley George Hickman,male,21.0,0
120,Mr. Leonard Charles Moore,male,19.0,0
121,Mr. Nicholas Nasser,male,32.5,0
122,Miss. Susan Webber,female,32.5,1
123,Mr. Percival Wayland White,male,54.0,0
124,Master. Elias Nicola-Yarred,male,12.0,1
125,Mr. Martin McMahon,male,19.0,0
126,Mr. Fridtjof Arne Madsen,male,24.0,1
127,Miss. Anna Peter,female,2.0,1
128,Mr. Johan Ekstrom,male,45.0,0
129,Mr. Jozef Drazenoic,male,33.0,0
130,Mr. Domingos Fernandeo Coelho,male,20.0,0
131,Mrs. Alexander A (Grace Charity Laury) Robins,female,47.0,0
132,Mrs. Leopold (Mathilde Francoise Pede) Weisz,female,29.0,1
133,Mr. Samuel James Hayden Sobey,male,25.0,0
134,Mr. Emile Richard,male,23.0,0
135,Miss. Helen Monypeny Newsom,female,19.0,1
136,Mr. Jacques Heath Futrelle,male,37.0,0
137,Mr. Olaf Elon Osen,male,16.0,0
138,Mr. Victor Giglio,male,24.0,0
139,Mrs. Joseph (Sultana) Boulos,female,40.0,0
140,Miss. Anna Sofia Nysten,female,22.0,1
141,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,female,24.0,1
142,Mr. Jeremiah Burke,male,19.0,0
143,Mr. Edgardo Samuel Andrew,male,18.0,0
144,Mr. Joseph Charles Nicholls,male,19.0,0
145,Mr. August Edvard Andersson,male,27.0,1
146,Miss. Robina Maggie Ford,female,9.0,0
147,Mr. Michel Navratil,male,36.5,0
148,Rev. Thomas Roussel Davids Byles,male,42.0,0
149,Rev. Robert James Bateman,male,51.0,0
150,Mrs. Thomas (Edith Wearne) Pears,female,22.0,1
151,Mr. Alfonzo Meo,male,55.5,0
152,Mr. Austin Blyler van Billiard,male,40.5,0
153,Mr. Ole Martin Olsen,male,27.0,0
154,Mr. Charles Duane Williams,male,51.0,0
155,Miss. Katherine Gilnagh,female,16.0,1
156,Mr. Harry Corn,male,30.0,0
157,Mr. Mile Smiljanic,male,37.0,0
158,Master. Thomas Henry Sage,male,5.0,0
159,Mr. John Hatfield Cribb,male,44.0,0
160,Mrs. James (Elizabeth Inglis Milne) Watt,female,40.0,1
161,Mr. John Viktor Bengtsson,male,26.0,0
162,Mr. Jovo Calic,male,17.0,0
163,Master. Eino Viljami Panula,male,1.0,0
164,Master. Frank John William Goldsmith,male,9.0,1
165,Mrs. (Edith Martha Bowerman) Chibnall,female,48.0,1
166,Mrs. William (Anna Bernhardina Karlsson) Skoog,female,45.0,0
167,Mr. John D Baumann,male,60.0,0
168,Mr. Lee Ling,male,28.0,0
169,Mr. Wyckoff Van der hoef,male,61.0,0
170,Master. Arthur Rice,male,4.0,0
171,Miss. Eleanor Ileen Johnson,female,1.0,1
172,Mr. Antti Wilhelm Sivola,male,21.0,0
173,Mr. James Clinch Smith,male,56.0,0
174,Mr. Klas Albin Klasen,male,18.0,0
175,Master. Henry Forbes Lefebre,male,5.0,0
176,Miss. Ann Elizabeth Isham,female,50.0,0
177,Mr. Reginald Hale,male,30.0,0
178,Mr. Lionel Leonard,male,36.0,0
179,Miss. Constance Gladys Sage,female,8.0,0
180,Mr. Rene Pernot,male,39.0,0
181,Master. Clarence Gustaf Hugo Asplund,male,9.0,0
182,Master. Richard F Becker,male,1.0,1
183,Miss. Luise Gretchen Kink-Heilmann,female,4.0,1
184,Mr. Hugh Roscoe Rood,male,39.0,0
185,Mrs. Thomas (Johanna Godfrey) O'Brien,female,26.0,1
186,Mr. Charles Hallace Romaine,male,45.0,1
187,Mr. John Bourke,male,40.0,0
188,Mr. Stjepan Turcin,male,36.0,0
189,Mrs. (Rosa) Pinsky,female,32.0,1
190,Mr. William Carbines,male,19.0,0
191,Miss. Carla Christine Nielsine Andersen-Jensen,female,19.0,1
192,Master. Michel M Navratil,male,3.0,1
193,Mrs. James Joseph (Margaret Tobin) Brown,female,44.0,1
194,Miss. Elise Lurette,female,58.0,1
195,Mr. Robert Mernagh,male,28.0,0
196,Mr. Karl Siegwart Andreas Olsen,male,42.0,0
197,Miss. Margaret Madigan,female,21.0,1
198,Miss. Henriette Yrois,female,24.0,0
199,Mr. Nestor Cyriel Vande Walle,male,28.0,0
200,Mr. Frederick Sage,male,17.0,0
201,Mr. Jakob Alfred Johanson,male,34.0,0
202,Mr. Gerious Youseff,male,45.5,0
203,Mr. Gurshon Cohen,male,18.0,1
204,Miss. Telma Matilda Strom,female,2.0,0
205,Mr. Karl Alfred Backstrom,male,32.0,0
206,Mr. Nassef Cassem Albimona,male,26.0,1
207,Miss. Helen Carr,female,16.0,1
208,Mr. Henry Blank,male,40.0,1
209,Mr. Ahmed Ali,male,24.0,0
210,Miss. Clear Annie Cameron,female,35.0,1
211,Mr. John Henry Perkin,male,22.0,0
212,Mr. Hans Kristensen Givard,male,30.0,0
213,Mr. Philip Kiernan,male,22.0,0
214,Miss. Madeleine Newell,female,31.0,1
215,Miss. Eliina Honkanen,female,27.0,1
216,Mr. Sidney Samuel Jacobsohn,male,42.0,0
217,Miss. Albina Bazzani,female,32.0,1
218,Mr. Walter Harris,male,30.0,0
219,Mr. Victor Francis Sunderland,male,16.0,1
220,Mr. James H Bracken,male,27.0,0
221,Mr. George Henry Green,male,51.0,0
222,Mr. Christo Nenkoff,male,22.0,0
223,Mr. Frederick Maxfield Hoyt,male,38.0,1
224,Mr. Karl Ivar Sven Berglund,male,22.0,0
225,Mr. William John Mellors,male,19.0,1
226,Mr. John Hall Lovell,male,20.5,0
227,Mr. Arne Jonas Fahlstrom,male,18.0,0
228,Miss. Mathilde Lefebre,female,12.0,0
229,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35.0,1
230,Mr. Bengt Edvin Larsson,male,29.0,0
231,Mr. Ernst Adolf Sjostedt,male,59.0,0
232,Miss. Lillian Gertrud Asplund,female,5.0,1
233,Mr. Robert William Norman Leyson,male,24.0,0
234,Miss. Alice Phoebe Harknett,female,21.0,0
235,Mr. Stephen Hold,male,44.0,0
236,Miss. Marjorie Collyer,female,8.0,1
237,Mr. Frederick William Pengelly,male,19.0,0
238,Mr. George Henry Hunt,male,33.0,0
239,Miss. Thamine Zabour,female,19.0,0
240,Miss. Katherine Murphy,female,18.0,1
241,Mr. Reginald Charles Coleridge,male,29.0,0
242,Mr. Matti Alexanteri Maenpaa,male,22.0,0
243,Mr. Sleiman Attalah,male,30.0,0
244,Dr. William Edward Minahan,male,44.0,0
245,Miss. Agda Thorilda Viktoria Lindahl,female,25.0,0
246,Mrs. William (Anna) Hamalainen,female,24.0,1
247,Mr. Richard Leonard Beckwith,male,37.0,1
248,Rev. Ernest Courtenay Carter,male,54.0,0
249,Mr. James George Reed,male,18.0,0
250,Mrs. Wilhelm (Elna Matilda Persson) Strom,female,29.0,0
251,Mr. William Thomas Stead,male,62.0,0
252,Mr. William Arthur Lobb,male,30.0,0
253,Mrs. Viktor (Helena Wilhelmina) Rosblom,female,41.0,0
254,Mrs. Darwis (Hanne Youssef Razi) Touma,female,29.0,1
255,Mrs. Gertrude Maybelle Thorne,female,38.0,1
256,Miss. Gladys Cherry,female,30.0,1
257,Miss. Anna Ward,female,35.0,1
258,Mrs. (Lutie Davis) Parrish,female,50.0,1
259,Master. Edvin Rojj Felix Asplund,male,3.0,1
260,Mr. Emil Taussig,male,52.0,0
261,Mr. William Harrison,male,40.0,0
262,Miss. Delia Henry,female,21.0,0
263,Mr. David Reeves,male,36.0,0
264,Mr. Ernesti Arvid Panula,male,16.0,0
265,Mr. Ernst Ulrik Persson,male,25.0,1
266,Mrs. William Thompson (Edith Junkins) Graham,female,58.0,1
267,Miss. Amelia Bissette,female,35.0,1
268,Mr. Alexander Cairns,male,28.0,0
269,Mr. William Henry Tornquist,male,25.0,1
270,Mrs. (Elizabeth Anne Maidment) Mellinger,female,41.0,1
271,Mr. Charles H Natsch,male,37.0,0
272,Miss. Hanora Healy,female,33.0,1
273,Miss. Kornelia Theodosia Andrews,female,63.0,1
274,Miss. Augusta Charlotta Lindblom,female,45.0,0
275,Mr. Francis Parkes,male,21.0,0
276,Master. Eric Rice,male,7.0,0
277,Mrs. Stanton (Rosa Hunt) Abbott,female,35.0,1
278,Mr. Frank Duane,male,65.0,0
279,Mr. Nils Johan Goransson Olsson,male,28.0,0
280,Mr. Alfons de Pelsmaeker,male,16.0,0
281,Mr. Edward Arthur Dorking,male,19.0,1
282,Mr. Richard William Smith,male,57.0,0
283,Mr. Ivan Stankovic,male,33.0,0
284,Mr. Theodore de Mulder,male,30.0,1
285,Mr. Penko Naidenoff,male,22.0,0
286,Mr. Masabumi Hosono,male,42.0,1
287,Miss. Kate Connolly,female,22.0,1
288,Miss. Ellen Barber,female,26.0,1
289,Mrs. Dickinson H (Helen Walton) Bishop,female,19.0,1
290,Mr. Rene Jacques Levy,male,36.0,0
291,Miss. Aloisia Haas,female,24.0,0
292,Mr. Ivan Mineff,male,24.0,0
293,Mr. Ervin G Lewy,male,30.0,0
294,Mr. Mansour Hanna,male,23.5,0
295,Miss. Helen Loraine Allison,female,2.0,0
296,Mr. Adolphe Saalfeld,male,47.0,1
297,Mrs. James (Helene DeLaudeniere Chaput) Baxter,female,50.0,1
298,Miss. Anna Katherine Kelly,female,20.0,1
299,Mr. Bernard McCoy,male,24.0,1
300,Mr. William Cahoone Jr Johnson,male,19.0,0
301,Miss. Nora A Keane,female,46.0,1
302,Mr. Howard Hugh Williams,male,28.0,0
303,Master. Hudson Trevor Allison,male,0.92,1
304,Miss. Margaret Fleming,female,42.0,1
305,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,female,17.0,1
306,Mr. Samuel Abelson,male,30.0,0
307,Miss. Laura Mabel Francatelli,female,30.0,1
308,Miss. Margaret Bechstein Hays,female,24.0,1
309,Miss. Emily Borie Ryerson,female,18.0,1
310,Mrs. William (Anna Sylfven) Lahtinen,female,26.0,0
311,Mr. Ignjac Hendekovic,male,28.0,0
312,Mr. Benjamin Hart,male,43.0,0
313,Miss. Helmina Josefina Nilsson,female,26.0,1
314,Mrs. Sinai (Miriam Sternin) Kantor,female,24.0,1
315,Dr. Ernest Moraweck,male,54.0,0
316,Miss. Mary Natalie Wick,female,31.0,1
317,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,female,40.0,1
318,Mr. Samuel Dennis,male,22.0,0
319,Mr. Yoto Danoff,male,27.0,0
320,Miss. Hilda Mary Slayter,female,30.0,1
321,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,female,22.0,1
322,Mr. George John Jr Sage,male,20.0,0
323,Miss. Marie Grice Young,female,36.0,1
324,Mr. Johan Hansen Nysveen,male,61.0,0
325,Mrs. (Ada E Hall) Ball,female,36.0,1
326,Mrs. Frank John (Emily Alice Brown) Goldsmith,female,31.0,1
327,Miss. Jean Gertrude Hippach,female,16.0,1
328,Miss. Agnes McCoy,female,28.0,1
329,Mr. Austen Partner,male,45.5,0
330,Mr. George Edward Graham,male,38.0,0
331,Mr. Leo Edmondus Vander Planke,male,16.0,0
332,Mrs. Henry William (Clara Heinsheimer) Frauenthal,female,42.0,1
333,Mr. Mitto Denkoff,male,30.0,0
334,Mr. Thomas Clinton Pears,male,29.0,0
335,Miss. Elizabeth Margaret Burns,female,41.0,1
336,Mr. Karl Edwart Dahl,male,45.0,1
337,Mr. Stephen Weart Blackwell,male,45.0,0
338,Master. Edmond Roger Navratil,male,2.0,1
339,Miss. Alice Elizabeth Fortune,female,24.0,1
340,Mr. Erik Gustaf Collander,male,28.0,0
341,Mr. Charles Frederick Waddington Sedgwick,male,25.0,0
342,Mr. Stanley Hubert Fox,male,36.0,0
343,Miss. Amelia Brown,female,24.0,1
344,Miss. Marion Elsie Smith,female,40.0,1
345,Mrs. Thomas Henry (Mary E Finck) Davison,female,34.0,1
346,Master. William Loch Coutts,male,3.0,1
347,Mr. Jovan Dimic,male,42.0,0
348,Mr. Nils Martin Odahl,male,23.0,0
349,Mr. Fletcher Fellows Williams-Lambert,male,43.0,0
350,Mr. Tannous Elias,male,15.0,0
351,Mr. Josef Arnold-Franchi,male,25.0,0
352,Mr. Wazli Yousif,male,23.0,0
353,Mr. Leo Peter Vanden Steen,male,28.0,0
354,Miss. Elsie Edith Bowerman,female,22.0,1
355,Miss. Annie Clemmer Funk,female,38.0,0
356,Miss. Mary McGovern,female,22.0,1
357,Miss. Helen Mary Mockler,female,23.0,1
358,Mr. Wilhelm Skoog,male,40.0,0
359,Mr. Sebastiano del Carlo,male,29.0,0
360,Mrs. (Catherine David) Barbara,female,45.0,0
361,Mr. Adola Asim,male,35.0,0
362,Mr. Thomas O'Brien,male,27.0,0
363,Mr. Mauritz Nils Martin Adahl,male,30.0,0
364,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,60.0,1
365,Mrs. (Mantoura Boulos) Moussa,female,35.0,1
366,Miss. Annie Jermyn,female,22.0,1
367,Mme. Leontine Pauline Aubart,female,24.0,1
368,Mr. George Achilles Harder,male,25.0,1
369,Mr. Jakob Alfred Wiklund,male,18.0,0
370,Mr. William Thomas Beavan,male,19.0,0
371,Mr. Sante Ringhini,male,22.0,0
372,Miss. Stina Viola Palsson,female,3.0,0
373,Mrs. Edgar Joseph (Leila Saks) Meyer,female,25.0,1
374,Miss. Aurora Adelia Landergren,female,22.0,1
375,Mr. Harry Elkins Widener,male,27.0,0
376,Mr. Tannous Betros,male,20.0,0
377,Mr. Karl Gideon Gustafsson,male,19.0,0
378,Miss. Rosalie Bidois,female,42.0,1
379,Miss. Maria Nakid,female,1.0,1
380,Mr. Juho Tikkanen,male,32.0,0
381,Mrs. Alexander Oskar (Mary Aline Towner) Holverson,female,35.0,1
382,Mr. Vasil Plotcharsky,male,27.0,0
383,Mr. Charles Henry Davies,male,18.0,0
384,Master. Sidney Leonard Goodwin,male,1.0,0
385,Miss. Kate Buss,female,36.0,1
386,Mr. Matthew Sadlier,male,19.0,0
387,Miss. Bertha Lehmann,female,17.0,1
388,Mr. William Ernest Carter,male,36.0,1
389,Mr. Carl Olof Jansson,male,21.0,1
390,Mr. Johan Birger Gustafsson,male,28.0,0
391,Miss. Marjorie Newell,female,23.0,1
392,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,female,24.0,1
393,Mr. Erik Johansson,male,22.0,0
394,Miss. Elina Olsson,female,31.0,0
395,Mr. Peter David McKane,male,46.0,0
396,Dr. Alfred Pain,male,23.0,0
397,Mrs. William H (Jessie L) Trout,female,28.0,1
398,Mr. Juha Niskanen,male,39.0,1
399,Mr. John Adams,male,26.0,0
400,Miss. Mari Aina Jussila,female,21.0,0
401,Mr. Pekka Pietari Hakkarainen,male,28.0,0
402,Miss. Marija Oreskovic,female,20.0,0
403,Mr. Shadrach Gale,male,34.0,0
404,Mr. Carl/Charles Peter Widegren,male,51.0,0
405,Master. William Rowe Richards,male,3.0,1
406,Mr. Hans Martin Monsen Birkeland,male,21.0,0
407,Miss. Ida Lefebre,female,3.0,0
408,Mr. Todor Sdycoff,male,42.0,0
409,Mr. Henry Hart,male,27.0,0
410,Miss. Daisy E Minahan,female,33.0,1
411,Mr. Alfred Fleming Cunningham,male,22.0,0
412,Mr. Johan Julian Sundman,male,44.0,1
413,Mrs. Thomas (Annie Louise Rowley) Meek,female,32.0,0
414,Mrs. James Vivian (Lulu Thorne Christian) Drew,female,34.0,1
415,Miss. Lyyli Karoliina Silven,female,18.0,1
416,Mr. William John Matthews,male,30.0,0
417,Miss. Catharina Van Impe,female,10.0,0
418,Mr. David Charters,male,21.0,0
419,Mr. Leo Zimmerman,male,29.0,0
420,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,female,28.0,0
421,Mr. Viktor Richard Rosblom,male,18.0,0
422,Mr. Phillippe Wiseman,male,54.0,0
423,Mrs. Charles V (Ada Maria Winfield) Clarke,female,28.0,1
424,Miss. Kate Florence Phillips,female,19.0,1
425,Mr. James Flynn,male,28.0,0
426,Mr. Berk (Berk Trembisky) Pickard,male,32.0,1
427,Mr. Mauritz Hakan Bjornstrom-Steffansson,male,28.0,1
428,Mrs. Percival (Florence Kate White) Thorneycroft,female,33.0,1
429,Mrs. Charles Alexander (Alice Adelaide Slow) Louch,female,42.0,1
430,Mr. Nikolai Erland Kallio,male,17.0,0
431,Mr. William Baird Silvey,male,50.0,0
432,Miss. Lucile Polk Carter,female,14.0,1
433,Miss. Doolina Margaret Ford,female,21.0,0
434,Mrs. Sidney (Emily Hocking) Richards,female,24.0,1
435,Mr. Mark Fortune,male,64.0,0
436,Mr. Johan Henrik Johannesson Kvillner,male,31.0,0
437,Mrs. Benjamin (Esther Ada Bloomfield) Hart,female,45.0,1
438,Mr. Leon Hampe,male,20.0,0
439,Mr. Johan Emil Petterson,male,25.0,0
440,Ms. Encarnacion Reynaldo,female,28.0,1
