,Name,Sex,Age,Survived
441,Mr. Bernt Johannesen-Bratthammer,male,29.0,1
442,Master. Washington Dodge,male,4.0,1
443,Miss. Madeleine Violet Mellinger,female,13.0,1
444,Mr. Frederic Kimber Seward,male,34.0,1
445,Miss. Marie Catherine Baclini,female,5.0,1
446,Major. Arthur Godfrey Peuchen,male,52.0,1
447,Mr. Edwy Arthur West,male,36.0,0
448,Mr. Ingvald Olai Olsen Hagland,male,28.0,0
449,Mr. Benjamin Laventall Foreman,male,30.0,0
450,Mr. Samuel L Goldenberg,male,49.0,1
451,Mr. Joseph Peduzzi,male,24.0,0
452,Mr. Ivan Jalsevac,male,29.0,1
453,Mr. Francis Davis Millet,male,65.0,0
454,Mrs. Frederick R (Marion) Kenyon,female,41.0,1
455,Miss. Ellen Toomey,female,50.0,1
456,Mr. Maurice O'Connor,male,17.0,0
457,Mr. Harry Anderson,male,48.0,1
458,Mr. William Morley,male,34.0,0
459,Mr. Arthur H Gee,male,47.0,0
460,Mr. Jacob Christian Milling,male,48.0,0
461,Mr. Simon Maisner,male,34.0,0
462,Mr. Manuel Estanslas Goncalves,male,38.0,0
463,Mr. William Campbell,male,21.0,0
464,Mr. John Montgomery Smart,male,56.0,0
465,Mr. James Scanlan,male,22.0,0
466,Miss. Helene Barbara Baclini,female,0.75,1
467,Mr. Arthur Keefe,male,39.0,0
468,Mr. Luka Cacic,male,38.0,0
469,Mrs. Edwy Arthur (Ada Mary Worth) West,female,33.0,1
470,Mrs. Amin S (Marie Marthe Thuillard) Jerwan,female,23.0,1
471,Miss. Ida Sofia Strandberg,female,22.0,0
472,Mr. George Quincy Clifford,male,40.0,0
473,Mr. Peter Henry Renouf,male,34.0,0
474,Mr. Lewis Richard Braund,male,29.0,0
475,Mr. Nils August Karlsson,male,22.0,0
476,Miss. Hildur E Hirvonen,female,2.0,1
477,Master. Harold Victor Goodwin,male,9.0,0
478,Mr. Anthony Wood Frost,male,37.0,0
479,Mr. Richard Henry Rouse,male,50.0,0
480,Mrs. (Hedwig) Turkula,female,63.0,1
481,Mr. Dickinson H Bishop,male,25.0,1
482,Miss. Jeannie Lefebre,female,8.0,0
483,Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,female,35.0,1
484,Mr. Edward Austin Kent,male,58.0,0
485,Mr. Francis William Somerton,male,30.0,0
486,Master. Eden Leslie Coutts,male,9.0,1
487,Mr. Konrad Mathias Reiersen Hagland,male,19.0,0
488,Mr. Einar Windelov,male,21.0,0
489,Mr. Harry Markland Molson,male,55.0,0
490,Mr. Ramon Artagaveytia,male,71.0,0
491,Mr. Edward Roland Stanley,male,21.0,0
492,Mr. Gerious Yousseff,male,26.0,0
493,Miss. Elizabeth Mussey Eustis,female,54.0,1
494,Mr. Frederick William Shellard,male,55.0,0
495,Mrs. Hudson J C (Bessie Waldo Daniels) Allison,female,25.0,0
496,Mr. Olof Svensson,male,24.0,0
497,Mr. Petar Calic,male,17.0,0
498,Miss. Mary Canavan,female,21.0,0
499,Miss. Bridget Mary O'Sullivan,female,21.0,0
500,Miss. Kristina Sofia Laitinen,female,37.0,0
501,Miss. Roberta Maioni,female,16.0,1
502,Mr. Victor de Satode Penasco y Castellana,male,18.0,0
503,Mrs. Frederick Charles (Jane Richards) Quick,female,33.0,1
504,Mr. George Bradley,male,37.0,1
505,Mr. Henry Margido Olsen,male,28.0,0
506,Mr. Fang Lang,male,26.0,1
507,Mr. Eugene Patrick Daly,male,29.0,1
508,Mr. James Webber,male,66.0,0
509,Mr. James Robert McGough,male,36.0,1
510,Mrs. Martin (Elizabeth L. Barrett) Rothschild,female,54.0,1
511,Mr. Satio Coleff,male,24.0,0
512,Mr. William Anderson Walker,male,47.0,0
513,Mrs. (Amelia Milley) Lemore,female,34.0,1
514,Mr. Patrick Ryan,male,30.0,0
515,Mrs. William A (Florence Agnes Hughes) Angle,female,36.0,1
516,Mr. Stefo Pavlovic,male,32.0,0
517,Miss. Anne Perreault,female,30.0,1
518,Mr. Janko Vovk,male,22.0,0
519,Mr. Sarkis Lahoud,male,35.0,0
520,Mrs. Louis Albert (Ida Sophia Fischer) Hippach,female,44.0,1
521,Mr. Fared Kassem,male,18.0,0
522,Mr. James Farrell,male,40.5,0
523,Miss. Lucy Ridsdale,female,50.0,1
524,Mr. John Farthing,male,49.0,0
525,Mr. Johan Werner Salonen,male,39.0,0
526,Mr. Richard George Hocking,male,23.0,0
527,Miss. Phyllis May Quick,female,2.0,1
528,Mr. Nakli Toufik,male,17.0,0
529,Mr. Joseph Jr Elias,male,17.0,0
530,Mrs. Catherine (Catherine Rizk) Peter,female,24.0,1
531,Miss. Marija Cacic,female,30.0,0
532,Miss. Eva Miriam Hart,female,7.0,1
533,Major. Archibald Willingham Butt,male,45.0,0
534,Miss. Bertha LeRoy,female,30.0,1
535,Mr. Samuel Beard Risien,male,69.0,0
536,Miss. Hedwig Margaritha Frolicher,female,22.0,1
537,Miss. Harriet R Crosby,female,36.0,1
538,Miss. Ingeborg Constanzia Andersson,female,9.0,0
539,Miss. Sigrid Elisabeth Andersson,female,11.0,0
540,Mr. Edward Beane,male,32.0,1
541,Mr. Walter Donald Douglas,male,50.0,0
542,Mr. Arthur Ernest Nicholson,male,64.0,0
543,Mrs. Edward (Ethel Clarke) Beane,female,19.0,1
544,Mr. Julian Padro y Manent,male,27.0,1
545,Mr. Frank John Goldsmith,male,33.0,0
546,Master. John Morgan Jr Davies,male,8.0,1
547,Mr. John Borland Jr Thayer,male,17.0,1
548,Mr. Percival James R Sharp,male,27.0,0
549,Mr. Timothy O'Brien,male,21.0,0
550,Mr. Fahim Leeni,male,22.0,1
551,Miss. Velin Ohman,female,22.0,1
552,Mr. George Wright,male,62.0,0
553,Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48.0,1
554,Mr. Victor Robbins,male,45.0,0
555,Mrs. Emil (Tillie Mandelbaum) Taussig,female,39.0,1
556,Mrs. Guillaume Joseph (Emma) de Messemaeker,female,36.0,1
557,Mr. Thomas Rowan Morrow,male,30.0,0
558,Mr. Husein Sivic,male,40.0,0
559,Mr. Robert Douglas Norman,male,28.0,0
560,Mr. John Simmons,male,40.0,0
561,Miss. (Marion Ogden) Meanwell,female,62.0,0
562,Mr. Alfred J Davies,male,24.0,0
563,Mr. Ilia Stoytcheff,male,19.0,0
564,Mrs. Nils (Alma Cornelia Berglund) Palsson,female,29.0,0
565,Mr. Tannous Doharr,male,28.0,0
566,Mr. Carl Jonsson,male,32.0,1
567,Mr. George Harris,male,62.0,1
568,Mrs. Edward Dale (Charlotte Lamson) Appleton,female,53.0,1
569,Mr. John Irwin Flynn,male,36.0,1
570,Miss. Mary Kelly,female,22.0,1
571,Mr. Alfred George John Rush,male,16.0,0
572,Mr. George Patchett,male,19.0,0
573,Miss. Ethel Garside,female,34.0,1
574,Mrs. William Baird (Alice Munger) Silvey,female,39.0,1
575,Mrs. Joseph (Maria Elias) Caram,female,18.0,0
576,Mr. Eiriik Jussila,male,32.0,1
577,Miss. Julie Rachel Christy,female,25.0,1
578,Mrs. John Borland (Marian Longstreth Morris) Thayer,female,39.0,1
579,Mr. William James Downton,male,54.0,0
580,Mr. John Hugo Ross,male,36.0,0
581,Mr. Uscher Paulner,male,16.0,0
582,Miss. Ruth Taussig,female,18.0,1
583,Mr. John Denzil Jarvis,male,47.0,0
584,Mr. Maxmillian Frolicher-Stehli,male,60.0,1
585,Mr. Eliezer Gilinski,male,22.0,0
586,Mr. Joseph Murdlin,male,22.0,0
587,Mr. Matti Rintamaki,male,35.0,0
588,Mrs. Walter Bertram (Martha Eustis) Stephenson,female,52.0,1
589,Mr. William James Elsbury,male,47.0,0
590,Miss. Mary Bourke,female,40.0,0
591,Mr. John Henry Chapman,male,37.0,0
592,Mr. Jean Baptiste Van Impe,male,36.0,0
593,Miss. Jessie Wills Leitch,female,31.0,1
594,Mr. Alfred Johnson,male,49.0,0
595,Mr. Hanna Boulos,male,18.0,0
596,Sir. Cosmo Edmund Duff Gordon,male,49.0,1
597,Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,female,24.0,1
598,Mr. Petco Slabenoff,male,42.0,0
599,Mr. Charles H Harrington,male,37.0,0
600,Mr. Ernst William Torber,male,44.0,0
601,Mr. Harry Homer,male,35.0,1
602,Mr. Edvard Bengtsson Lindell,male,36.0,0
603,Mr. Milan Karaic,male,30.0,0
604,Mr. Robert Williams Daniel,male,27.0,1
605,Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,female,22.0,1
606,Miss. Elizabeth W Shutes,female,40.0,1
607,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,female,39.0,0
608,Mr. Jose Neto Jardin,male,21.0,0
609,Miss. Margaret Jane Murphy,female,18.0,1
610,Mr. John Horgan,male,22.0,0
611,Mr. William Alfred Brocklebank,male,35.0,0
612,Miss. Alice Herman,female,24.0,1
613,Mr. Ernst Gilbert Danbom,male,34.0,0
614,Mrs. William Arthur (Cordelia K Stanlick) Lobb,female,26.0,0
615,Miss. Marion Louise Becker,female,4.0,1
616,Mr. Lawrence Gavey,male,26.0,0
617,Mr. Antoni Yasbeck,male,27.0,0
618,Mr. Edwin Nelson Jr Kimball,male,42.0,1
619,Mr. Sahid Nakid,male,20.0,1
620,Mr. Henry Damsgaard Hansen,male,21.0,0
621,Mr. David John Bowen,male,21.0,0
622,Mr. Frederick Sutton,male,61.0,0
623,Rev. Charles Leonard Kirkland,male,57.0,0
624,Miss. Gretchen Fiske Longley,female,21.0,1
625,Mr. Guentcho Bostandyeff,male,26.0,0
626,Mr. Patrick D O'Connell,male,18.0,0
627,Mr. Algernon Henry Wilson Barkworth,male,80.0,1
628,Mr. Johan Svensson Lundahl,male,51.0,0
629,Dr. Max Stahelin-Maeglin,male,32.0,1
630,Mr. William Henry Marsh Parr,male,30.0,0
631,Miss. Mabel Skoog,female,9.0,0
632,Miss. Mary Davis,female,28.0,1
633,Mr. Antti Gustaf Leinonen,male,32.0,0
634,Mr. Harvey Collyer,male,31.0,0
635,Mrs. Juha (Maria Emilia Ojala) Panula,female,41.0,0
636,Mr. Percival Thorneycroft,male,37.0,0
637,Mr. Hans Peder Jensen,male,20.0,0
638,Mlle. Emma Sagesser,female,24.0,1
639,Miss. Margit Elizabeth Skoog,female,2.0,0
640,Mr. Choong Foo,male,32.0,1
641,Miss. Eugenie Baclini,female,0.75,1
642,Mr. Henry Sleeper Harper,male,48.0,1
643,Mr. Liudevit Cor,male,19.0,0
644,Col. Oberst Alfons Simonius-Blumer,male,56.0,1
645,Mr. Edward Willey,male,21.0,0
646,Miss. Amy Zillah Elsie Stanley,female,23.0,1
647,Mr. Mito Mitkoff,male,23.0,0
648,Miss. Elsie Doling,female,18.0,1
649,Mr. Johannes Halvorsen Kalvik,male,21.0,0
650,Miss. Hanora O'Leary,female,16.0,1
651,Miss. Hanora Hegarty,female,18.0,0
652,Mr. Leonard Mark Hickman,male,24.0,0
653,Mr. Alexander Radeff,male,27.0,0
654,Mrs. John (Catherine) Bourke,female,32.0,0
655,Mr. George Floyd Eitemiller,male,23.0,0
656,Mr. Arthur Webster Newell,male,58.0,0
657,Dr. Henry William Frauenthal,male,50.0,1
658,Mr. Mohamed Badt,male,40.0,0
659,Mr. Edward Pomeroy Colley,male,47.0,0
660,Mr. Peju Coleff,male,36.0,0
661,Mr. Eino William Lindqvist,male,20.0,1
662,Mr. Lewis Hickman,male,32.0,0
663,Mr. Reginald Fenton Butler,male,25.0,0
664,Mr. Knud Paust Rommetvedt,male,49.0,0
665,Mr. Jacob Cook,male,43.0,0
666,Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,female,48.0,1
667,Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,female,40.0,1
668,Mr. Thornton Davidson,male,31.0,0
669,Mr. Henry Michael Mitchell,male,70.0,0
670,Mr. Charles Wilhelms,male,31.0,1
671,Mr. Ennis Hastings Watson,male,19.0,0
672,Mr. Gustaf Hjalmar Edvardsson,male,18.0,0
673,Mr. Frederick Charles Sawyer,male,24.5,0
674,Miss. Anna Sofia Turja,female,18.0,1
675,Mrs. Frederick (Augusta Tyler) Goodwin,female,43.0,0
676,Mr. Thomas Drake Martinez Cardeza,male,36.0,1
677,Miss. Katie Peters,female,28.0,0
678,Mr. Hammad Hassab,male,27.0,1
679,Mr. Thor Anderson Olsvigen,male,20.0,0
680,Mr. Charles Edward Goodwin,male,14.0,0
681,Mr. Thomas William Solomon Brown,male,60.0,0
682,Mr. Joseph Philippe Lemercier Laroche,male,25.0,0
683,Mr. Jaako Arnold Panula,male,14.0,0
684,Mr. Branko Dakic,male,19.0,0
685,Mr. Eberhard Thelander Fischer,male,18.0,0
686,Miss. Georgette Alexandra Madill,female,15.0,1
687,Mr. Albert Adrian Dick,male,31.0,1
688,Miss. Manca Karun,female,4.0,1
689,Mr. Ali Lam,male,37.0,1
690,Mr. Khalil Saad,male,25.0,0
691,Col. John Weir,male,60.0,0
692,Mr. Charles Henry Chapman,male,52.0,0
693,Mr. James Kelly,male,44.0,0
694,Miss. Katherine Mullens,female,19.0,1
695,Mr. John Borland Thayer,male,49.0,0
696,Mr. Adolf Mathias Nicolai Olsen Humblen,male,42.0,0
697,Mrs. John Jacob (Madeleine Talmadge Force) Astor,female,18.0,1
698,Mr. Spencer Victor Silverthorne,male,35.0,1
699,Miss. Saiide Barbara,female,18.0,0
700,Mr. Martin Gallagher,male,25.0,0
701,Mr. Henrik Juul Hansen,male,26.0,0
702,Mr. Henry Samuel Morley,male,39.0,0
703,Mrs. Florence Kelly,female,45.0,1
704,Mr. Edward Pennington Calderhead,male,42.0,1
705,Miss. Alice Cleaver,female,22.0,1
706,Master. Halim Gonios Moubarek,male,4.0,1
707,Mlle. Berthe Antonine Mayne,female,24.0,1
708,Mr. Herman Klaber,male,41.0,0
709,Mr. Elmer Zebley Taylor,male,48.0,1
710,Mr. August Viktor Larsson,male,29.0,0
711,Mr. Samuel Greenberg,male,52.0,0
712,Mr. Peter Andreas Lauritz Andersen Soholt,male,19.0,0
713,Miss. Caroline Louise Endres,female,38.0,1
714,Miss. Edwina Celia Troutt,female,27.0,1
715,Mr. Malkolm Joackim Johnson,male,33.0,0
716,Miss. Annie Jessie Harper,female,6.0,1
717,Mr. Svend Lauritz Jensen,male,17.0,0
718,Mr. William Henry Gillespie,male,34.0,0
719,Mr. Henry Price Hodges,male,50.0,0
720,Mr. Norman Campbell Chambers,male,27.0,1
721,Mr. Luka Oreskovic,male,20.0,0
722,Mrs. Peter Henry (Lillian Jefferys) Renouf,female,30.0,1
723,Miss. Margareth Mannion,female,28.0,1
724,Mr. Kurt Arnold Gottfrid Bryhl,male,25.0,0
725,Miss. Pieta Sofia Ilmakangas,female,25.0,0
726,Miss. Elisabeth Walton Allen,female,29.0,1
727,Mr. Houssein G N Hassan,male,11.0,0
728,Mr. Robert J Knight,male,41.0,0
729,Mr. William John Berriman,male,23.0,0
730,Mr. Moses Aaron Troupiansky,male,23.0,0
731,Mr. Leslie Williams,male,28.5,0
732,Mrs. Edward (Margaret Ann Watson) Ford,female,48.0,0
733,Mr. Gustave J Lesurer,male,35.0,1
734,Mr. Kanio Ivanoff,male,20.0,0
735,Mr. Minko Nankoff,male,32.0,0
736,Mr. Walter James Hawksford,male,45.0,1
737,Mr. Tyrell William Cavendish,male,36.0,0
738,Miss. Susan Parker Ryerson,female,21.0,1
739,Mr. Neal McNamee,male,24.0,0
740,Mr. Juho Stranden,male,31.0,1
741,Capt. Edward Gifford Crosby,male,70.0,0
742,Mr. Rossmore Edward Abbott,male,16.0,0
743,Miss. Anna Sinkkonen,female,30.0,1
744,Mr. Daniel Warner Marvin,male,19.0,0
745,Mr. Michael Connaghton,male,31.0,0
746,Miss. Joan Wells,female,4.0,1
747,Master. Meier Moor,male,6.0,1
748,Mr. Johannes Joseph Vande Velde,male,33.0,0
749,Mr. Lalio Jonkoff,male,23.0,0
750,Mrs. Samuel (Jane Laver) Herman,female,48.0,1
751,Master. Viljo Hamalainen,male,0.67,1
752,Mr. August Sigfrid Carlsson,male,28.0,0
753,Mr. Percy Andrew Bailey,male,18.0,0
754,Mr. Thomas Leonard Theobald,male,34.0,0
755,the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,female,33.0,1
756,Mr. John Garfirth,male,23.0,0
757,Mr. Iisakki Antino Aijo Nirva,male,41.0,0
758,Mr. Hanna Assi Barah,male,20.0,1
759,Mrs. William Ernest (Lucile Polk) Carter,female,36.0,1
760,Mr. Hans Linus Eklund,male,16.0,0
761,Mrs. John C (Anna Andrews) Hogeboom,female,51.0,1
762,Dr. Arthur Jackson Brewe,male,46.0,0
763,Miss. Mary Mangan,female,30.5,0
764,Mr. Daniel J Moran,male,28.0,0
765,Mr. Daniel Danielsen Gronnestad,male,32.0,0
766,Mr. Rene Aime Lievens,male,24.0,0
767,Mr. Niels Peder Jensen,male,48.0,0
768,Mrs. (Mary) Mack,female,57.0,0
769,Mr. Dibo Elias,male,29.0,0
770,Mrs. Elizabeth (Eliza Needs) Hocking,female,54.0,1
771,Mr. Pehr Fabian Oliver Malkolm Myhrman,male,18.0,0
772,Mr. Roger Tobin,male,20.0,0
773,Miss. Virginia Ethel Emanuel,female,5.0,1
774,Mr. Thomas J Kilgannon,male,22.0,0
775,Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,female,43.0,1
776,Miss. Banoura Ayoub,female,13.0,1
777,Mrs. Albert Adrian (Vera Gillespie) Dick,female,17.0,1
778,Mr. Milton Clyde Long,male,29.0,0
779,Mr. Andrew G Johnston,male,35.0,0
780,Mr. William Ali,male,25.0,0
781,Mr. Abraham (David Lishin) Harmer,male,25.0,0
782,Miss. Anna Sofia Sjoblom,female,18.0,1
783,Master. George Hugh Rice,male,8.0,0
784,Master. Bertram Vere Dean,male,1.0,1
785,Mr. Benjamin Guggenheim,male,46.0,0
786,Mr. Andrew Keane,male,20.0,0
787,Mr. Alfred Gaskell,male,16.0,0
788,Miss. Stella Anna Sage,female,21.0,0
789,Mr. William Fisher Hoyt,male,43.0,0
790,Mr. Ristiu Dantcheff,male,25.0,0
791,Mr. Richard Otter,male,39.0,0
792,Dr. Alice (Farnham) Leader,female,49.0,1
793,Mrs. Mara Osman,female,31.0,1
794,Mr. Yousseff Ibrahim Shawah,male,30.0,0
795,Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,female,30.0,0
796,Mr. Martin Ponesell,male,34.0,0
797,Mrs. Harvey (Charlotte Annie Tate) Collyer,female,31.0,1
798,Master. William Thornton II Carter,male,11.0,1
799,Master. Assad Alexander Thomas,male,0.42,1
800,Mr. Oskar Arvid Hedman,male,27.0,1
801,Mr. Karl Johan Johansson,male,31.0,0
802,Mr. Thomas Jr Andrews,male,39.0,0
803,Miss. Ellen Natalia Pettersson,female,18.0,0
804,Mr. August Meyer,male,39.0,0
805,Mrs. Norman Campbell (Bertha Griggs) Chambers,female,33.0,1
806,Mr. William Alexander,male,26.0,0
807,Mr. James Lester,male,39.0,0
808,Mr. Richard James Slemen,male,35.0,0
809,Miss. Ebba Iris Alfrida Andersson,female,6.0,0
810,Mr. Ernest Portage Tomlin,male,30.5,0
811,Mr. Richard Fry,male,39.0,0
812,Miss. Wendla Maria Heininen,female,23.0,0
813,Mr. Albert Mallet,male,31.0,0
814,Mr. John Fredrik Alexander Holm,male,43.0,0
815,Master. Karl Thorsten Skoog,male,10.0,0
816,Mrs. Charles Melville (Clara Jennings Gregg) Hays,female,52.0,1
817,Mr. Nikola Lulic,male,27.0,1
818,Jonkheer. John George Reuchlin,male,38.0,0
819,Mrs. (Beila) Moor,female,27.0,1
820,Master. Urho Abraham Panula,male,2.0,0
821,Mr. John Flynn,male,36.0,0
822,Mr. Len Lam,male,23.0,0
823,Master. Andre Mallet,male,1.0,1
824,Mr. Thomas Joseph McCormack,male,19.0,1
825,Mrs. George Nelson (Martha Evelyn) Stone,female,62.0,1
826,Mrs. Antoni (Selini Alexander) Yasbeck,female,15.0,1
827,Master. George Sibley Richards,male,0.83,1
828,Mr. Amin Saad,male,30.0,0
829,Mr. Albert Augustsson,male,23.0,0
830,Mr. Owen George Allum,male,18.0,0
831,Miss. Sara Rebecca Compton,female,39.0,1
832,Mr. Jakob Pasic,male,21.0,0
833,Mr. Maurice Sirota,male,20.0,0
834,Mr. Chang Chip,male,32.0,1
835,Mr. Pierre Marechal,male,29.0,1
836,Mr. Ilmari Rudolf Alhomaki,male,20.0,0
837,Mr. Thomas Charles Mudd,male,16.0,0
838,Miss. Augusta Serepeca,female,30.0,1
839,Mr. Peter L Lemberopolous,male,34.5,0
840,Mr. Jeso Culumovic,male,17.0,0
841,Mr. Anthony Abbing,male,42.0,0
842,Mr. Douglas Bullen Sage,male,18.0,0
843,Mr. Marin Markoff,male,35.0,0
844,Rev. John Harper,male,28.0,0
845,Mrs. Samuel L (Edwiga Grabowska) Goldenberg,female,40.0,1
846,Master. Sigvard Harald Elias Andersson,male,4.0,0
847,Mr. Johan Svensson,male,74.0,0
848,Miss. Nourelain Boulos,female,9.0,0
849,Miss. Mary Conover Lines,female,16.0,1
850,Mrs. Ernest Courtenay (Lilian Hughes) Carter,female,44.0,0
851,Mrs. Sam (Leah Rosen) Aks,female,18.0,1
852,Mrs. George Dennick (Mary Hitchcock) Wick,female,45.0,1
853,Mr. Peter Denis Daly,male,51.0,1
854,Mrs. Solomon (Latifa Qurban) Baclini,female,24.0,1
855,Mr. Raihed Razi,male,30.0,0
856,Mr. Claus Peter Hansen,male,41.0,0
857,Mr. Frederick Edward Giles,male,21.0,0
858,Mrs. Frederick Joel (Margaret Welles Barron) Swift,female,48.0,1
859,Miss. Dorothy Edith Sage,female,14.0,0
860,Mr. John William Gill,male,24.0,0
861,Mrs. (Karolina) Bystrom,female,42.0,1
862,Miss. Asuncion Duran y More,female,27.0,1
863,Mr. Washington Augustus II Roebling,male,31.0,0
864,Mr. Philemon van Melkebeke,male,23.0,0
865,Master. Harold Theodor Johnson,male,4.0,1
866,Mr. Cerin Balkic,male,26.0,0
867,Mrs. Richard Leonard (Sallie Monypeny) Beckwith,female,47.0,1
868,Mr. Frans Olof Carlsson,male,33.0,0
869,Mr. Victor Vander Cruyssen,male,47.0,0
870,Mrs. Samuel (Hannah Wizosky) Abelson,female,28.0,1
871,Miss. Adele Kiamie Najib,female,15.0,1
872,Mr. Alfred Ossian Gustafsson,male,20.0,0
873,Mr. Nedelio Petroff,male,19.0,0
874,Mr. Kristo Laleff,male,23.0,0
875,Mrs. Thomas Jr (Lily Alexenia Wilson) Potter,female,56.0,1
876,Mrs. William (Imanita Parrish Hall) Shelley,female,25.0,1
877,Mr. Johann Markun,male,33.0,0
878,Miss. Gerda Ulrika Dahlberg,female,22.0,0
879,Mr. Frederick James Banfield,male,28.0,0
880,Mr. Henry Jr Sutehall,male,25.0,0
881,Mrs. William (Margaret Norton) Rice,female,39.0,0
882,Rev. Juozas Montvila,male,27.0,0
883,Miss. Margaret Edith Graham,female,19.0,1
884,Miss. Catherine Helen Johnston,female,7.0,0
885,Mr. Karl Howell Behr,male,26.0,1
886,Mr. Patrick Dooley,male,32.0,0
